iter	Logloss
442	0.4829118408
443	0.4828458509
444	0.4827781327
445	0.4827044877
446	0.4826492089
447	0.4825519287
448	0.4824634001
449	0.4823975159
450	0.4823299933
451	0.4822568403
452	0.482183293
453	0.4821195657
454	0.4820739004
455	0.4819956672
456	0.4819036955
457	0.481839487
458	0.4817779765
459	0.481690698
460	0.4815995737
461	0.4815056916
462	0.4814271217
463	0.4813545426
464	0.481270326
465	0.4812139637
466	0.4811197941
467	0.4810262454
468	0.4809350842
469	0.4808747562
470	0.480803045
471	0.4807471273
472	0.480657108
473	0.4806090976
474	0.4805342605
475	0.4804613541
476	0.4804052981
477	0.4802858139
478	0.4802339732
479	0.4801666106
480	0.4801146545
481	0.4800351227
482	0.4799599234
483	0.4798717909
484	0.479792958
485	0.4797489908
486	0.4796707072
487	0.4796098161
488	0.4795319823
489	0.4794603352
490	0.4794085452
491	0.4793612026
492	0.4792747642
493	0.4791932451
494	0.4791060993
495	0.4790236944
496	0.4789356887
497	0.478859123
498	0.4787797948
499	0.4787230692
500	0.4786537178
501	0.4785554945
502	0.4785164651
503	0.478460396
504	0.4783890629
505	0.4783002172
506	0.4782637233
507	0.4781792962
508	0.4780967813
509	0.4780418503
510	0.4779526775
511	0.4779063406
512	0.4778633715
513	0.4777831037
514	0.4777332129
515	0.4776560658
516	0.4776040645
517	0.4775393258
518	0.4774584399
519	0.4774136233
520	0.4773511862
521	0.4772810145
522	0.4771889325
523	0.4770944204
524	0.4770281485
525	0.4769437492
526	0.4768957568
527	0.4768486155
528	0.4767855828
529	0.4767293697
530	0.476646265
531	0.4765857732
532	0.476515898
533	0.4764579808
534	0.4763933702
535	0.4763316213
536	0.4762742144
537	0.4762216305
538	0.4761477809
539	0.4761070669
540	0.4760275842
541	0.4759494963
542	0.4758823432
543	0.4758228077
544	0.4757597462
545	0.4756965615
546	0.4756352654
547	0.4755628868
548	0.4754606222
549	0.4754072387
550	0.4753488176
551	0.4752984845
552	0.475237316
553	0.4751764396
554	0.475126299
555	0.4750400735
556	0.4749617623
557	0.4748857632
558	0.4748329934
559	0.4747906965
560	0.4747121824
561	0.4746559007
562	0.47457945
563	0.4745216669
564	0.4744663171
565	0.4743951018
566	0.4743270011
567	0.4742432595
568	0.4741593132
569	0.4741009702
570	0.4740525969
571	0.4739601403
572	0.4738819212
573	0.4738208968
574	0.4737474455
575	0.4736632633
576	0.4736074119
577	0.4735441444
578	0.4734910411
579	0.4734417571
580	0.473388549
581	0.4733458748
582	0.47307858
583	0.4730250345
584	0.4729656795
585	0.4728976955
586	0.4728273633
587	0.4727662875
588	0.4726939041
589	0.4726290427
590	0.4725574179
591	0.4724860579
592	0.4724114468
593	0.4723500818
594	0.4722904526
595	0.4722184072
596	0.4721574521
597	0.4720869328
598	0.4720243169
599	0.4719506929
600	0.4718644544
601	0.4718177516
602	0.4717599998
603	0.4717043048
604	0.4716453041
605	0.4716051582
606	0.4715638341
607	0.4715122055
608	0.471434982
609	0.47138158
610	0.4713164539
611	0.4712703492
612	0.4712087072
613	0.4711369275
614	0.4710978168
615	0.4710499895
616	0.4709816724
617	0.4709262277
618	0.4708777394
619	0.4708223392
620	0.4707587196
621	0.4706943706
622	0.470612767
623	0.4705546785
624	0.470478499
625	0.4704413288
626	0.4704010916
627	0.4703466166
628	0.4703054371
629	0.4702672873
630	0.4701870785
631	0.4701326316
632	0.4700775848
633	0.4700245827
634	0.4699499483
635	0.4698985366
636	0.4698510246
637	0.4697086045
638	0.469647476
639	0.4695498949
640	0.4694863316
641	0.469425132
642	0.4693622923
643	0.4693068179
644	0.4692269416
645	0.4691401849
646	0.4690690289
647	0.4690005064
648	0.4689422872
649	0.4688914422
650	0.4688393255
651	0.468801184
652	0.4687436087
653	0.4686751114
654	0.4686215953
655	0.4685506092
656	0.4684802297
657	0.4683994061
658	0.4683053997
659	0.4682332701
660	0.4681905677
661	0.4681259273
662	0.4680607434
663	0.4679890831
664	0.4679583376
665	0.4679275845
666	0.4678821938
667	0.4678106631
668	0.467751056
669	0.467678936
670	0.4676251131
671	0.4675604717
672	0.4675111383
673	0.4674110166
674	0.4673241815
675	0.467258677
676	0.4672207895
677	0.4671691427
678	0.4671026402
679	0.4670230415
680	0.4669595853
681	0.4669046981
682	0.4668308091
683	0.4667612672
684	0.4666762687
685	0.4666275955
686	0.4665390317
687	0.4664809079
688	0.4664151868
689	0.466370921
690	0.466317747
691	0.4662611639
692	0.4662098887
693	0.4661663562
694	0.4660989306
695	0.466064901
696	0.4659728646
697	0.4659049392
698	0.4658657862
699	0.4658152524
700	0.4657768697
701	0.4657158071
702	0.4656642727
703	0.4656057134
704	0.4655431682
705	0.4654900483
706	0.4654180897
707	0.4653692605
708	0.4653004324
709	0.4652218894
710	0.4651920851
711	0.4650940352
712	0.4650499367
713	0.4649991929
714	0.4649587204
715	0.4649070405
716	0.4648756024
717	0.4648346743
718	0.4647620787
719	0.46471578
720	0.4646184848
721	0.4645556663
722	0.4645109584
723	0.4644741067
724	0.4644133369
725	0.4643348135
726	0.4642765566
727	0.4641814942
728	0.4641244515
729	0.4640318372
730	0.4639949256
731	0.4639140509
732	0.4638261882
733	0.4637402081
734	0.4636844128
735	0.4636059776
736	0.4635517307
737	0.463515438
738	0.4634711983
739	0.4634152777
740	0.4633564205
741	0.4633031288
742	0.4632631097
743	0.463184542
744	0.4631274112
745	0.4630664862
746	0.4630072868
747	0.4629584775
748	0.4628714316
749	0.4628108066
750	0.4627559279
751	0.4626711157
752	0.4626019569
753	0.4625355501
754	0.4624842453
755	0.4624500854
756	0.4623836533
757	0.4623388317
758	0.4622678142
759	0.4621958934
760	0.4621017779
761	0.462018826
762	0.4619836198
763	0.4619243358
764	0.4618262102
765	0.4617539835
766	0.4616857488
767	0.4616406125
768	0.4615819808
769	0.4615029316
770	0.4614402971
771	0.4613636706
772	0.461289893
773	0.4612100442
774	0.4611625957
775	0.4610936374
776	0.4610220949
777	0.4609702814
778	0.4609001285
779	0.4608328255
780	0.4607876021
781	0.4607267645
782	0.4606768319
783	0.4605964308
784	0.46051695
785	0.4604507187
786	0.4603325388
787	0.4602836696
788	0.4602281612
789	0.460148424
790	0.460113147
791	0.4600512652
792	0.4600115178
793	0.4599467272
794	0.4598976641
795	0.459837453
796	0.4597664523
797	0.4597129988
798	0.4596729514
799	0.4596161965
800	0.4595781348
801	0.4595332884
802	0.4594634026
803	0.4593962221
804	0.4593551709
805	0.4593030186
806	0.4592344436
807	0.4591395922
808	0.4590698708
809	0.4589912258
810	0.458912685
811	0.4588252015
812	0.4587425216
813	0.4586666914
814	0.4586334304
815	0.4585880647
816	0.4585359557
817	0.4584591241
818	0.4584174935
819	0.4583568946
820	0.4582873977
821	0.4582194542
822	0.4581556507
823	0.4581044062
824	0.4580567945
825	0.4579866602
826	0.4579045649
827	0.4578612153
828	0.4578190558
829	0.4577770818
830	0.4577342888
831	0.4576822394
832	0.4576118507
833	0.4575628867
834	0.4575144066
835	0.4574441037
836	0.4573704557
837	0.4573263836
838	0.457266764
839	0.4572023686
840	0.457152011
841	0.4570900328
842	0.4570435493
843	0.4569892734
844	0.45689551
845	0.4568415305
846	0.4567983784
847	0.4567519091
848	0.4567181285
849	0.4566645338
850	0.4566222168
851	0.4565662529
852	0.4565351073
853	0.4564889764
854	0.4564426135
855	0.4563940384
856	0.456354041
857	0.456287754
858	0.456223783
859	0.4561759571
860	0.4561314067
861	0.456097142
862	0.4560487761
863	0.4559785608
864	0.4559431004
865	0.4558886189
866	0.4558156855
867	0.4557697687
868	0.4557088467
869	0.4556444795
870	0.4555811138
871	0.4555125921
872	0.4554598087
873	0.4553958361
874	0.4553170064
875	0.4552537078
876	0.4551912559
877	0.4551332217
878	0.4551056461
879	0.4550395689
880	0.4549983159
881	0.4549315924
882	0.4548841772
883	0.4548250092
884	0.454755774
885	0.4546947606
886	0.4546145111
887	0.4545726568
888	0.4545322829
889	0.4544893553
890	0.4544309195
891	0.4543783042
892	0.4543344314
893	0.454261145
894	0.4541940911
895	0.4541422046
896	0.4540600794
897	0.4540037017
898	0.4539415484
899	0.4538800476
900	0.4538253535
901	0.4537609301
902	0.4536906298
903	0.4536091151
904	0.4535412576
905	0.4534679664
906	0.4533930379
907	0.4533537344
908	0.4533134003
909	0.4532645398
910	0.453169901
911	0.4531242953
912	0.4530642962
913	0.4530010136
914	0.4529500118
915	0.4528823642
916	0.4528242053
917	0.4527418281
918	0.4527003949
919	0.4526427346
920	0.4526019158
921	0.4525355241
922	0.45248289
923	0.4524359869
924	0.4523850763
925	0.4523239344
926	0.4522647132
927	0.4521815537
928	0.4521467463
929	0.4521055658
930	0.4520564237
931	0.4520086541
932	0.4519357728
933	0.4518569256
934	0.4518066082
935	0.4517613315
936	0.4517267537
937	0.451666903
938	0.451607464
939	0.4515563537
940	0.4515166228
941	0.4514373811
942	0.4513930637
943	0.4513119905
944	0.4512413846
945	0.4511780449
946	0.4511171628
947	0.4510198985
948	0.4509699151
949	0.4509181425
950	0.4508463992
951	0.4508067066
952	0.4507385046
953	0.4506698531
954	0.4506186615
955	0.450545612
956	0.4505049824
957	0.4504580154
958	0.4504121756
959	0.4503556333
960	0.4502958532
961	0.4502561498
962	0.4502127606
963	0.4501681633
964	0.4501126535
965	0.4500650253
966	0.4500185186
967	0.4499701863
968	0.4499020978
969	0.4497852279
970	0.4497332987
971	0.4496916406
972	0.449614125
973	0.4495568316
974	0.4495141065
975	0.449481212
976	0.4494421687
977	0.449400935
978	0.4493427667
979	0.4493145469
980	0.4492622418
981	0.4492200011
982	0.4491827796
983	0.4491425766
984	0.4490928258
985	0.4490340296
986	0.4489415608
987	0.4488851142
988	0.4488231659
989	0.4487672409
990	0.4486847084
991	0.4486193831
992	0.4485605369
993	0.4485200098
994	0.4484631717
995	0.4484239722
996	0.4483577576
997	0.4482983113
998	0.4482540486
999	0.4482134923
